,Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng,Number of Hospitals,Number of Cinemas,Distance to CBD
129,Banyena,3388,8,28.0,-36.63951,142.79466000000005,0,0,232.02762195062977
130,Baranduda,3691,301,2370.0,-36.18457,146.96049,0,0,253.46452074734256
131,Barfold,3444,21,88.0,-37.10357,144.50155,0,0,88.68774219305594
132,Baringhup,3463,67,205.0,-36.97665,143.97093999999996,0,0,127.69019367193404
133,Baringhup West,3463,6,16.0,-36.96278,143.89891,0,0,133.23055246105065
134,Barjarg,3723,44,132.0,-36.91979,146.00163,0,0,135.22812592166562
135,Barkers Creek,3451,91,457.0,-37.00946,144.23291,0,0,110.09309046939977
136,Barkly,3384,15,43.0,-36.95011,143.21903,0,0,181.4269664772045
137,Barkstead,3364,3,42.0,-37.47812,144.09714,0,0,84.75518021347715
138,Barmah,3639,264,282.0,-35.95003,144.97836999999996,0,0,207.08704469438453
139,Barnadown,3557,20,17.0,-36.6501,144.52847,0,0,134.82370562207092
140,Barnawartha,3688,307,904.0,-36.08079,146.67251000000005,0,0,245.286553863544
141,Barnawartha North,3691,191,169.0,-36.0794,146.7555,0,0,250.04203295790634
142,Baromi,3871,30,127.0,-38.40362,146.17639,0,0,124.92344947377825
143,Barongarook,3249,87,434.0,-38.42778,143.61413000000005,0,0,136.3490822614302
144,Barongarook West,3249,51,235.0,-38.43464,143.54529,0,0,141.95494305406393
145,Barrabool,3221,48,235.0,-38.16605,144.22763,0,0,75.44362867239563
146,Barrakee,3525,7,18.0,-36.26521,143.44875,0,0,218.26637267428856
147,Barramunga,3249,21,7.0,-38.58182,143.72263999999996,0,0,138.03967094945435
148,Barraport,3537,8,37.0,-35.99817,143.66888,0,0,232.20084598292385
149,Barraport West,3537,1,10.0,-36.01867,143.52785,0,0,236.72581677137975
150,Barrys Reef,3458,21,36.0,-37.45546,144.31223,0,0,69.65432029985097
151,Barunah Park,3329,5,27.0,-38.01319,143.82296000000005,0,0,102.41338766959251
152,Barunah Plains,3329,1,9.0,-38.04777,143.77039,0,0,107.76365469925555
153,Barwidgee,3737,34,106.0,-36.51193,146.77268999999995,0,0,215.96962069936887
154,Barwite,3722,32,228.0,-37.00944000000001,146.21743999999995,0,0,142.33668036766613
155,Barwon Downs,3243,21,131.0,-38.50767000000001,143.79258000000004,0,0,128.2030638437274
156,Barwon Heads,3227,1398,3875.0,-38.27363,144.48863,0,0,65.96357633582691
157,Basalt,3460,7,10.0,-37.30859,144.09659,0,0,94.66046970248003
158,Bass,3991,352,359.0,-38.47707,145.4726,0,0,86.33896401295371
159,Batesford,3213,166,952.0,-38.08873,144.27868999999995,0,0,67.35764323735961
160,Bathumi,3730,9,62.0,-36.02512,146.08516,0,0,222.38872220164833
161,Baw Baw,3833,38,0.0,-37.83765,146.30085,0,0,117.60027431787124
162,Baxter,3911,1764,2162.0,-38.19766,145.15309,0,0,45.98892809417528
163,Bayindeen,3375,9,21.0,-37.30321,143.18286,0,0,166.75538070098284
164,Bayles,3981,154,461.0,-38.17723,145.5845,0,0,67.96182891516219
165,Baynton,3444,23,107.0,-37.13779,144.6372,0,0,80.30790050951695
166,Bayswater,3153,9277,11758.0,-37.84631,145.26278,1,0,26.659454890411237
167,Bayswater North,3153,5576,8789.0,-37.82616,145.28203,0,0,28.127238561248433
168,Beaconsfield,3807,2868,6714.0,-38.03964000000001,145.38483,0,0,44.8576908464484
169,Beaconsfield Upper,3808,454,2861.0,-37.99855,145.42478,0,0,45.55307045272908
170,Bealiba,3475,125,206.0,-36.7688,143.55039,0,0,170.48189243336932
171,Bearii,3641,41,145.0,-35.88351,145.34703000000005,0,0,217.1931622258498
172,Bears Lagoon,3517,36,72.0,-36.33823,143.94832,0,0,186.97393943728977
173,Beauchamp,3579,8,44.0,-35.64116,143.6237,0,0,269.2846923747877
174,Beaufort,3373,951,1539.0,-37.4404,143.33452,1,0,149.19844559942536
175,Beazleys Bridge,3477,5,25.0,-36.70765,143.14151,0,0,202.6126861282151
176,Beeac,3251,125,370.0,-38.17835,143.66526000000005,0,0,120.72133565059892
177,Beech Forest,3237,43,82.0,-38.63424000000001,143.58652,0,0,150.9778519625772
178,Beechworth,3747,1046,3859.0,-36.33392,146.65998000000005,1,0,222.9513245739248
179,Beenak,3139,26,25.0,-37.9008,145.62724,0,0,59.200795094169045
180,Belgrave,3160,2360,3929.0,-37.91101,145.35595,0,1,36.25748832526594
181,Belgrave Heights,3160,231,1360.0,-37.92603,145.34355,0,0,35.773626265104355
182,Belgrave South,3160,372,1645.0,-37.94151,145.35658,0,0,37.46782016217107
183,Bell Post Hill,3215,2233,4919.0,-38.09642,144.31988,0,0,64.57630085814866
184,Bellarine,3223,88,169.0,-38.13211,144.6197,0,0,46.53916479548709
185,Bellbird Creek,3889,11,0.0,-37.63645,148.81566,0,0,339.4477506069926
186,Bellbrae,3228,160,865.0,-38.34169,144.23694,0,0,86.5750328738722
187,Bellbridge,3691,84,370.0,-36.09798,147.05838,0,0,266.49815863870606
188,Bellellen,3381,3,57.0,-37.13396,142.69213,0,0,214.06234260465135
189,Bellfield,3081,1226,1793.0,-37.75299,145.03835,0,0,9.395055296346085
190,Bells Beach,3228,90,130.0,-38.37674000000001,144.26039,0,0,87.81215128956833
191,Belmont,3216,8592,14054.0,-38.17986,144.34286,0,0,67.94130712905161
192,Bemm River,3889,24,60.0,-37.71638,148.92832,0,0,348.76536355886293
193,Benalla,3672,8214,10330.0,-36.57111,146.00681,1,0,166.16078357055224
194,Benambra,3900,61,149.0,-36.8883,147.79543,0,0,270.67502654982417
195,Benayeo,3319,6,61.0,-36.84324,141.046,0,0,362.6238314545528
196,Bend Of Islands,3097,17,295.0,-37.7005,145.28588,0,0,31.048259830847414
197,Bendigo,3550,20598,5512.0,-36.7562,144.28015,4,1,132.03773859075898
198,Bendoc,3888,17,115.0,-37.18847,148.88003999999995,0,0,352.4744771382577
199,Bengworden,3875,24,59.0,-37.97445,147.44483,0,0,218.58055243355201
200,Benjeroop,3579,23,45.0,-35.49071,143.81837,0,0,277.5871250346737
201,Benloch,3435,63,135.0,-37.19833,144.6717,0,0,72.93047432650002
202,Bennison,3960,1,43.0,-38.66592,146.26885,0,0,148.41940507652146
203,Bentleigh,3204,6729,16153.0,-37.92267,145.03728,1,0,13.920223480871359
204,Bentleigh East,3165,8002,27635.0,-37.9222,145.06678,0,0,15.273884420387196
205,Benwerrin,3235,15,5.0,-38.49115,143.90997,0,0,119.01030745413723
206,Beremboke,3342,63,149.0,-37.78785,144.22633000000005,0,0,64.71954934487279
207,Berrimal,3518,1,46.0,-36.49808,143.46726,0,0,197.25482737281516
208,Berringa,3351,42,167.0,-37.77136,143.67874,0,0,112.87796584899557
209,Berringama,3691,8,37.0,-36.1981,147.66652,0,0,299.7798757377089
210,Berriwillock,3531,39,184.0,-35.64437,142.9622,0,0,299.7935093062388
211,Berrybank,3323,42,40.0,-37.96764,143.49402,0,0,129.99696136860052
212,Berrys Creek,3953,26,152.0,-38.41279,146.0662,0,0,117.40791715990261
213,Berwick,3806,17270,47674.0,-38.0421,145.34951999999996,4,0,42.4982735287415
214,Bessiebelle,3304,35,98.0,-38.15756,141.93845,0,0,267.76434733513673
215,Bet Bet,3472,75,129.0,-36.92338,143.75063,0,0,145.72672516225143
216,Bete Bolong,3888,8,93.0,-37.68794000000001,148.31088,0,0,294.7186892782154
217,Bete Bolong North,3888,2,12.0,-37.59583,148.29325,0,0,294.0133893217494
218,Bethanga,3691,74,471.0,-36.15196,147.12066000000004,0,0,266.14785956503306
219,Betley,3472,22,102.0,-36.91809,143.795,0,0,143.28076409786303
220,Beulah,3395,155,329.0,-35.89978,142.39322,0,0,312.18412141963637
221,Beverford,3590,87,336.0,-35.22378,143.46993999999995,0,0,317.21842387859823
222,Beveridge,3753,1278,2330.0,-37.47561,144.96796,0,0,37.44867839272757
223,Big Desert,3490,1,3.0,-35.64204,141.48137,0,0,392.9866918806447
224,Big Hill,3555,86,261.0,-36.83476,144.23,0,0,126.52788862183417
225,Big Pats Creek,3799,18,73.0,-37.7638,145.76124,0,0,70.41517045629062
226,Biggara,3707,16,49.0,-36.34191,147.99158,0,0,314.5459501997677
227,Bimbourie,3533,3,9.0,-35.33561,142.76156,0,0,338.3052982887135
228,Bindi,3896,7,55.0,-37.10919000000001,147.82827,0,0,264.75542902689244
229,Binginwarri,3966,37,130.0,-38.59432,146.44841,0,0,156.27447197976448
230,Bingo Munjie,3898,2,0.0,-37.00787,147.56466,0,0,246.63153986897413
231,Birchip,3483,179,702.0,-35.99733,142.92549,0,0,271.1491634230207
232,Birchip West,3483,3,3.0,-36.01417,142.82183999999995,0,0,276.0139341101082
233,Birdwoodton,3505,152,643.0,-34.19821,142.06771,0,0,478.7859626928594
234,Birregurra,3242,200,828.0,-38.34351,143.83563999999996,0,0,114.94703167003992
235,Bittern,3918,1099,3705.0,-38.33841,145.17921,0,0,61.49816746238488
236,Black Hill,3350,1115,2126.0,-37.54998,143.87261999999996,0,0,100.23302101713652
237,Black Range,3381,49,189.0,-37.13369,142.76061,0,0,208.4293161106008
238,Black Rock,3193,1556,6159.0,-37.97356,145.02278,0,0,18.693592078579655
239,Blackburn,3130,5143,13940.0,-37.82155,145.15203,1,0,16.698195319220822
240,Blackburn North,3130,1657,7436.0,-37.80459000000001,145.15507,0,0,16.957955001412344
241,Blackburn South,3130,2942,10793.0,-37.83926,145.14661999999996,0,0,16.463676035414235
242,Blackwarry,3844,7,25.0,-38.41288,146.63069,0,0,160.5100564085763
243,Blackwood,3458,118,295.0,-37.48881,144.31509,0,0,67.38631673367726
244,Blairgowrie,3942,968,2313.0,-38.37085,144.76981999999995,0,0,64.34448399743515
245,Blakeville,3342,13,29.0,-37.47751,144.21091,0,0,75.91360407111758
246,Blampied,3364,35,212.0,-37.35135,144.02463999999995,0,0,97.23529841209897
247,Blind Bight,3980,280,1251.0,-38.21453,145.34106,0,0,55.68530501579828
248,Blowhard,3352,28,84.0,-37.43243,143.78028,0,0,112.3466917161713
249,Bo Peep,3351,39,21.0,-37.54275,143.67089,0,0,117.53831561031052
250,Bobinawarrah,3678,10,83.0,-36.53531,146.48577,0,0,195.913507336527
251,Bochara,3301,35,81.0,-37.68869,141.89938,0,0,269.62996780651713
252,Bogong,3699,10,5.0,-36.79725,147.22345,0,0,229.6370879604417
253,Boho,3669,18,68.0,-36.66935,145.78345,0,0,146.41441697422445
254,Boho South,3669,14,77.0,-36.77251,145.82299,0,0,138.4417835322393
255,Boigbeat,3531,1,8.0,-35.56247000000001,142.94326999999996,0,0,308.2006582289468
256,Boinka,3490,3,13.0,-35.15761,141.56711,0,0,423.34555099980213
257,Boisdale,3860,105,275.0,-37.85671,146.93129,0,0,172.98488785642905
258,Bolinda,3432,61,197.0,-37.43818,144.77257,0,0,44.836840005108634
259,Bolton,3546,1,12.0,-34.96158,142.93323,0,0,365.31535134290255
260,Bolwarra,3305,107,601.0,-38.28098,141.61536,0,0,297.6589519330079
261,Bolwarrah,3352,8,25.0,-37.50896,144.11105,0,0,82.17601782778311
262,Bona Vista,3820,17,109.0,-38.20672,145.96487,0,0,98.17384107796326
263,Bonang,3888,23,48.0,-37.1491,148.66249,0,0,334.7047931974475
264,Bonbeach,3196,2166,6416.0,-38.06295,145.12788,0,0,31.420947375415164
265,Bonegilla,3691,200,693.0,-36.14448,146.9889,0,0,258.4496424941787
266,Boneo,3939,171,354.0,-38.40841,144.90571,0,0,66.46188231232118
267,Bonn,3561,11,33.0,-36.4131,144.71819,0,0,157.0892188780104
268,Bonnie Doon,3720,291,570.0,-37.01414000000001,145.88239,0,0,120.33833858210795
269,Bonshaw,3352,138,210.0,-37.60375,143.81498,0,0,103.56006438794331
270,Bookaar,3260,97,163.0,-38.11061,143.10893000000004,0,0,165.8286200513587
271,Boola,3825,6,0.0,-38.04888,146.46503,0,0,134.3953647174
272,Boolarong,3960,1,15.0,-38.56543,146.25613,0,0,140.70403512431233
273,Boolarra,3870,298,973.0,-38.38256,146.26656,0,0,130.55823470575672
274,Boolarra South,3870,37,137.0,-38.4604,146.28695,0,0,136.4329800446972
