Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng
Taylor Bay,3713,17,38.0,-37.206340000000004,145.87849
Taylors Hill,3037,3533,14921.0,-37.71499,144.75326
Taylors Lakes,3038,11450,15519.0,-37.69664,144.78896
Teal Point,3579,17,60.0,-35.6822,144.04462
Tecoma,3160,866,2082.0,-37.90684,145.34181
Teddywaddy,3527,5,17.0,-36.19423,143.32322
Teddywaddy West,3527,3,15.0,-36.18962,143.22371
Teesdale,3328,147,1721.0,-38.02231,144.05516
Telangatuk East,3401,10,65.0,-37.12039,142.04596
Telford,3730,8,24.0,-36.10201,145.95423
Telopea Downs,3420,13,45.0,-36.02402,141.1218
Templestowe,3106,3539,16618.0,-37.75626,145.14806000000002
Templestowe Lower,3107,3298,13429.0,-37.76428,145.11236
Tempy,3489,35,57.0,-35.28996,142.42428
Tenby Point,3984,62,184.0,-38.41424,145.47668000000002
Tennyson,3572,16,48.0,-36.29145,144.35297
Terang,3264,1105,2288.0,-38.24631,142.88527
Terip Terip,3719,13,57.0,-37.00203,145.56759
Terrappee,3525,1,22.0,-36.162240000000004,143.57732
Terrick Terrick,3575,3,11.0,-36.11674,144.26412
Terrick Terrick East,3573,6,6.0,-36.10615,144.3824
Tesbury,3260,12,112.0,-38.30037,143.17401
Tetoora Road,3821,10,66.0,-38.28015,145.88296
Thalia,3527,2,10.0,-36.10819,143.06322
The Basin,3154,1680,4416.0,-37.855959999999996,145.32324
The Cove,3268,2,10.0,-38.49129,142.69563
The Gurdies,3984,77,191.0,-38.38834,145.56193000000002
The Heart,3851,18,29.0,-38.11367,147.16711
The Honeysuckles,3851,55,82.0,-38.33603,147.23568
The Patch,3792,158,1065.0,-37.891259999999996,145.40518
The Sisters,3265,34,141.0,-38.183209999999995,142.7867
Thologolong,3691,8,11.0,-35.98891,147.42107
Thomastown,3074,17478,20523.0,-37.68322,145.01152
Thomson,3825,1866,0.0,-37.763940000000005,146.34761
Thoona,3726,27,127.0,-36.34903,146.07214
Thornbury,3071,11238,18568.0,-37.75845,145.00574
Thornton,3712,156,299.0,-37.27232,145.81893
Thorpdale,3835,174,471.0,-38.30872,146.17465
Thorpdale South,3824,22,30.0,-38.33398,146.13283
Thowgla Valley,3707,13,82.0,-36.27069,147.92866
Three Bridges,3797,52,199.0,-37.853429999999996,145.697
Timboon,3268,407,1202.0,-38.48429,142.96131
Timboon West,3268,3,54.0,-38.53673,142.92152
Timmering,3561,50,96.0,-36.34875,144.88183
Timor,3465,50,58.0,-36.986709999999995,143.73146
Timor West,3465,2,24.0,-36.95863,143.67706
Tinamba,3859,114,277.0,-37.974109999999996,146.87466
Tinamba West,3859,26,49.0,-37.92259,146.84105
Tintaldra,3708,19,60.0,-36.05404,147.921
Tittybong,3542,1,3.0,-35.766059999999996,143.37703
Tol Tol,3549,32,142.0,-34.64947,142.82943
Tolmie,3723,83,447.0,-36.910759999999996,146.27716999999998
Tom Groggin,3707,1,0.0,-36.583009999999994,148.09192
Tongala,3621,865,1926.0,-36.242540000000005,144.95932
Tonghi Creek,3890,5,12.0,-37.602140000000006,149.08373
Tongio,3896,13,65.0,-37.16874,147.68986
Tonimbuk,3815,83,208.0,-38.01583,145.71136
Tooan,3409,8,19.0,-36.8642,141.7621
Tooborac,3522,179,310.0,-37.045120000000004,144.82793999999998
Toolamba,3614,169,769.0,-36.496179999999995,145.32811
Toolamba West,3614,32,112.0,-36.48059,145.26837
Toolangi,3777,116,344.0,-37.51801,145.49719
Toolern Vale,3337,545,724.0,-37.60249,144.5902
Toolleen,3551,83,182.0,-36.714290000000005,144.67463999999998
Toolondo,3401,33,59.0,-37.01573,141.88024
Toolong,3285,16,91.0,-38.314029999999995,142.23951
Toombon,3825,5,0.0,-37.741409999999995,146.41371
Toongabbie,3856,262,989.0,-38.03541,146.5886
