Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng
Woolamai,3995,81,208.0,-38.50785,145.51453
Woolenook,3860,4,4.0,-37.705659999999995,147.04056
Woolshed Flat,3518,4,3.0,-36.33125,143.6606
Woolsthorpe,3276,56,422.0,-38.15182,142.46726
Woomelang,3485,42,201.0,-35.67733,142.62538999999998
Wooragee,3747,39,345.0,-36.29037,146.74587
Woorarra East,3962,12,40.0,-38.60634,146.38016000000002
Woorarra West,3960,6,56.0,-38.593720000000005,146.22159
Wooreen,3953,4,89.0,-38.41446,146.005
Woori Yallock,3139,882,2913.0,-37.7795,145.54168
Woorinen,3589,84,260.0,-35.26437,143.47189
Woorinen North,3589,23,87.0,-35.236270000000005,143.42881
Woorinen South,3588,118,356.0,-35.2883,143.45497
Woorndoo,3272,29,169.0,-37.88304,142.79671000000002
Wooroonook,3525,15,20.0,-36.2472,143.17986000000002
Woosang,3518,10,11.0,-36.33146,143.47659
Wootong Vale,3315,10,46.0,-37.51701,141.74388000000002
Wuk Wuk,3875,25,88.0,-37.74843,147.42172
Wulgulmerang,3885,6,11.0,-37.02783,148.30743999999999
Wulgulmerang East,3885,3,7.0,-37.10644,148.32861
Wunghnu,3635,161,334.0,-36.16527,145.41517
Wurdiboluc,3241,18,138.0,-38.28918,144.05135
Wurruk,3850,640,1112.0,-38.110479999999995,147.03351
Wy Yung,3875,446,1657.0,-37.7902,147.59321
Wycheproof,3527,248,635.0,-36.067170000000004,143.22462
Wycheproof South,3527,3,12.0,-36.1357,143.18552
Wychitella,3525,28,31.0,-36.26739,143.62793
Wychitella North,3525,2,9.0,-36.19713,143.62794
Wye River,3234,67,63.0,-38.63015,143.84702
Wyelangta,3237,5,38.0,-38.65169,143.45678
Wyndham Vale,3024,7419,23273.0,-37.858909999999995,144.60343
Wyuna,3620,137,262.0,-36.20875,145.06878
Wyuna East,3620,43,103.0,-36.24,145.09075
Yaapeet,3424,26,84.0,-35.68802,142.09086000000002
Yabba North,3646,21,101.0,-36.23079,145.68595
Yabba South,3646,2,27.0,-36.28071,145.6816
Yackandandah,3749,219,1811.0,-36.32938,146.87347
Yalca,3637,58,206.0,-35.914429999999996,145.29086999999998
Yalla-Y-Poora,3378,2,16.0,-37.527440000000006,143.13227
Yallambie,3085,1151,4117.0,-37.72684,145.09521999999998
Yallourn,3825,116,144.0,-38.19389,146.34467
Yallourn North,3825,966,1545.0,-38.12892,146.37777
Yalmy,3885,6,0.0,-37.415490000000005,148.39338
Yambuk,3285,54,267.0,-38.346540000000005,142.06566999999998
Yambuna,3621,49,110.0,-36.15299,144.97319
Yan Yean,3755,172,252.0,-37.55077,145.13203000000001
Yanac,3418,24,63.0,-36.09471,141.39273
Yanakie,3960,70,251.0,-38.80188,146.20349
Yando,3537,2,40.0,-36.07323,143.81497
Yandoit,3461,32,154.0,-37.19981,144.10476
Yandoit Hills,3461,7,28.0,-37.22234,144.04891999999998
Yangery,3283,21,111.0,-38.31916,142.43956
Yannathan,3981,65,238.0,-38.22143,145.64586
Yapeen,3451,23,213.0,-37.11534,144.17623
Yarck,3719,76,168.0,-37.08972,145.611
Yarpturk,3283,20,77.0,-38.28355,142.43317
Yarra Glen,3775,882,2869.0,-37.64994,145.37841
Yarra Junction,3797,1001,2549.0,-37.79672,145.62598
Yarraberb,3516,9,23.0,-36.56012,144.07671000000002
Yarragon,3823,1058,1650.0,-38.18593,146.0748
Yarragon South,3823,28,164.0,-38.25665,146.07026000000002
Yarram,3971,1431,2135.0,-38.56149,146.72235
Yarrambat,3091,477,1588.0,-37.63792,145.13525
Yarraville,3013,6879,14965.0,-37.81811,144.88221000000001
Yarrawalla,3575,26,90.0,-36.15636,144.04561
Yarrawonga,3730,3135,7930.0,-36.03087,146.00796
Yarrawonga South,3730,1,15.0,-36.0845,146.02563
Yarroweyah,3644,192,548.0,-35.941720000000004,145.58002
Yatchaw,3301,1,26.0,-37.840759999999996,142.14106999999998
Yea,3717,758,1587.0,-37.277879999999996,145.40621000000002
Yellingbo,3139,239,534.0,-37.84871,145.53322
Yelta,3505,145,322.0,-34.12585,142.01434
Yendon,3352,52,307.0,-37.64496,143.98135
Yeo,3249,29,148.0,-38.37145,143.64646000000002
Yeodene,3249,29,121.0,-38.39783,143.70883999999998
Yering,3770,97,115.0,-37.684090000000005,145.35965
Yeungroon,3525,3,31.0,-36.402,143.35302
Yeungroon East,3525,2,16.0,-36.35715,143.43462
Yielima,3638,25,87.0,-35.905879999999996,145.18108
Yinnar,3869,323,907.0,-38.33215,146.33413000000002
Yinnar South,3869,157,691.0,-38.37041,146.35828999999998
Youanmite,3646,18,59.0,-36.164,145.69908999999998
Youarang,3728,18,39.0,-36.14917,145.7634
Yulecart,3301,28,127.0,-37.754259999999995,141.8788
Yundool,3727,10,44.0,-36.27612,145.81828000000002
Yuroke,3063,102,142.0,-37.58168,144.86379
Yuulong,3237,7,37.0,-38.72242,143.30778999999998
Zeerust,3634,104,149.0,-36.27525,145.39428
Zumsteins,3401,6,0.0,-37.1132,142.35993
